datetimeUtc,co,no,no2,o3,pm10,relativehumidity,temperature,wind_speed
2026-01-01T00:15:00Z,1.189,7.32,30.38,39.0,275.3,15.52,10.83,0.82
2026-01-01T00:30:00Z,1.171,5.54,30.97,34.75,275.3,15.52,10.83,0.75
2026-01-01T00:45:00Z,1.187,7.75,31.67,21.88,275.3,15.52,10.87,0.81
2026-01-01T01:00:00Z,1.168,6.92,29.28,0.0,277.6,15.52,10.91,0.71
2026-01-01T01:15:00Z,1.102,5.45,27.84,27.86,277.6,15.52,10.93,0.59
2026-01-01T01:30:00Z,0.862,7.79,29.88,28.6,277.6,15.52,10.93,0.92
2026-01-01T01:45:00Z,1.211,5.99,31.67,31.34,277.5,15.52,10.91,1.02
2026-01-01T02:00:00Z,1.292,6.41,28.16,30.79,269.9,15.52,10.87,0.87
2026-01-01T02:15:00Z,1.258,7.07,29.38,31.77,269.9,15.52,10.92,0.69
2026-01-01T02:30:00Z,1.265,5.97,25.55,36.84,269.9,15.52,11.0,0.55
2026-01-01T02:45:00Z,1.254,7.49,28.08,31.78,269.7,15.52,10.95,0.81
2026-01-01T03:00:00Z,1.187,8.24,28.98,35.53,249.5,15.52,10.92,0.8
2026-01-01T03:15:00Z,1.202,6.42,26.56,42.83,249.5,15.52,11.04,0.68
2026-01-01T03:30:00Z,1.194,6.74,25.9,42.57,249.5,15.52,11.17,0.48
2026-01-01T03:45:00Z,1.156,5.98,27.25,50.26,249.6,15.51,11.26,0.9
2026-01-01T04:00:00Z,1.207,8.49,31.64,40.7,256.0,15.51,11.27,0.73
2026-01-01T04:15:00Z,1.232,7.84,31.97,41.66,256.0,15.51,11.41,1.07
2026-01-01T04:30:00Z,1.214,6.79,30.82,41.7,256.0,15.51,11.54,0.82
2026-01-01T04:45:00Z,1.219,7.07,24.26,48.98,256.2,15.51,11.79,0.55
2026-01-01T05:00:00Z,1.299,9.18,27.43,46.28,267.8,15.51,11.82,1.08
2026-01-01T05:15:00Z,1.297,9.66,26.01,48.85,267.8,15.51,12.01,0.8
2026-01-01T05:30:00Z,1.289,7.18,27.38,38.43,267.8,15.51,12.45,1.02
2026-01-01T05:45:00Z,1.267,9.18,28.54,51.24,267.7,15.51,12.66,0.62
2026-01-01T06:00:00Z,1.267,7.56,29.13,42.15,260.6,15.51,13.23,0.63
2026-01-01T06:15:00Z,1.204,10.86,27.97,53.58,260.6,15.51,13.44,0.59
2026-01-01T06:30:00Z,1.222,11.01,32.64,59.03,260.6,15.5,13.6,0.42
2026-01-01T07:00:00Z,1.24,11.33,30.3,34.61,279.5,15.5,14.36,0.89
2026-01-01T07:15:00Z,1.327,6.75,30.06,42.77,279.5,15.5,14.72,0.56
2026-01-01T07:30:00Z,1.027,8.19,30.94,23.67,279.5,15.5,14.94,0.4
2026-01-01T07:45:00Z,1.413,9.0,31.74,39.68,279.6,15.49,15.62,0.49
2026-01-01T08:00:00Z,1.456,8.5,31.78,12.13,285.1,15.49,15.81,0.43
2026-01-01T08:15:00Z,1.367,9.18,32.29,53.75,285.1,15.49,15.59,0.51
2026-01-01T08:30:00Z,1.351,6.87,36.38,53.21,285.1,15.49,15.57,0.58
2026-01-01T08:45:00Z,1.387,11.65,31.59,38.82,285.1,15.49,15.68,0.29
2026-01-01T09:00:00Z,1.391,9.39,30.55,2.82,282.5,15.49,15.45,0.76
2026-01-01T09:15:00Z,1.375,8.84,32.86,6.11,282.5,15.49,15.51,0.42
2026-01-01T09:30:00Z,1.258,8.03,30.22,7.12,282.5,15.49,15.43,0.58
2026-01-01T09:45:00Z,1.206,6.14,31.52,0.0,282.6,15.49,15.38,0.71
2026-01-01T10:00:00Z,1.112,8.62,29.93,0.01,290.0,15.49,15.37,0.38
2026-01-01T10:15:00Z,1.073,9.92,30.93,0.0,290.0,15.49,15.4,0.35
2026-01-01T10:30:00Z,1.128,6.61,30.61,2.51,290.0,15.49,15.25,0.4
2026-01-01T10:45:00Z,1.265,8.5,32.91,44.74,290.1,15.49,15.08,0.32
2026-01-01T11:00:00Z,1.262,7.4,34.44,5.34,301.2,15.49,14.78,0.15
2026-01-01T11:15:00Z,1.304,8.81,34.72,37.45,301.2,15.49,14.73,0.16
2026-01-01T11:30:00Z,1.28,6.58,32.42,0.0,301.2,15.49,14.53,0.09
2026-01-01T11:45:00Z,1.286,9.11,30.44,34.49,301.1,15.5,14.41,0.06
2026-01-01T12:00:00Z,1.229,9.41,33.37,35.82,297.4,15.5,14.22,0.52
2026-01-01T12:15:00Z,1.178,7.83,34.08,48.68,297.4,15.5,14.22,0.47
2026-01-01T12:30:00Z,1.08,6.15,31.98,2.59,297.4,15.5,14.14,0.39
2026-01-01T12:45:00Z,0.972,9.4,34.03,6.63,297.7,15.5,13.99,0.58
2026-01-01T13:00:00Z,1.069,9.33,31.69,38.27,311.2,15.5,13.87,0.56
2026-01-01T13:15:00Z,0.976,8.08,34.07,7.69,311.2,15.5,13.69,0.32
2026-01-01T13:30:00Z,0.6,9.04,33.57,8.69,311.2,15.5,13.52,0.44
2026-01-01T13:45:00Z,1.542,7.74,33.2,50.16,311.2,15.5,13.34,0.1
2026-01-01T14:00:00Z,1.67,8.19,24.91,44.85,306.1,15.5,13.27,0.21
2026-01-01T14:15:00Z,1.709,12.24,36.45,48.02,306.1,15.51,13.27,0.37
2026-01-01T14:30:00Z,1.707,9.52,34.12,44.76,306.1,15.51,13.25,0.36
2026-01-01T14:45:00Z,1.647,8.12,31.26,39.03,305.9,15.5,13.22,0.18
2026-01-01T15:00:00Z,1.574,10.06,30.96,44.82,283.2,15.51,13.21,0.14
2026-01-01T15:15:00Z,1.512,9.45,29.68,44.69,283.2,15.51,13.15,0.27
2026-01-01T15:30:00Z,1.494,8.4,30.13,49.8,283.2,15.51,13.02,0.19
2026-01-01T15:45:00Z,1.506,9.99,27.53,43.6,283.1,15.51,13.05,0.32
2026-01-01T16:00:00Z,1.525,11.18,32.38,43.65,274.1,15.51,13.09,0.18
2026-01-01T16:15:00Z,1.435,7.21,29.62,45.5,274.1,15.51,13.04,0.23
