datetimeUtc,no,no2,nox,relativehumidity,temperature,wind_direction,wind_speed,hour,day,weekday
2026-01-26 00:15:00+00:00,12.7,37.2,0.03,97.0,7.3,359.0,0.3,0,26,0
2026-01-26 00:30:00+00:00,21.5,32.6,0.0351,97.0,7.2,359.0,0.3,0,26,0
2026-01-26 00:45:00+00:00,40.9,31.3,0.0509,98.0,7.1,359.0,0.3,0,26,0
2026-01-26 01:00:00+00:00,22.9,28.4,0.0346,98.0,7.1,359.0,0.3,1,26,0
2026-01-26 01:15:00+00:00,11.3,31.7,0.026,97.0,7.0,359.0,0.3,1,26,0
2026-01-26 01:30:00+00:00,50.3,26.0,0.0549,97.0,6.8,359.0,0.3,1,26,0
2026-01-26 01:45:00+00:00,109.5,31.8,0.1054,98.0,7.0,359.0,0.3,1,26,0
2026-01-26 02:00:00+00:00,17.8,28.3,0.0294,98.0,7.0,,0.3,2,26,0
2026-01-26 02:15:00+00:00,42.8,33.3,0.0514,98.0,7.0,359.0,0.3,2,26,0
2026-01-26 02:30:00+00:00,42.3,28.3,0.0497,98.0,7.5,360.0,0.4,2,26,0
2026-01-26 02:45:00+00:00,25.2,35.8,0.0395,97.0,8.1,359.0,0.9,2,26,0
2026-01-26 03:00:00+00:00,36.6,61.8,0.0624,94.0,8.8,,0.9,3,26,0
2026-01-26 03:15:00+00:00,60.8,105.0,0.1051,85.0,9.6,360.0,1.8,3,26,0
2026-01-26 03:30:00+00:00,17.3,93.3,0.0634,76.0,10.6,360.0,1.2,3,26,0
2026-01-26 03:45:00+00:00,8.3,56.6,0.0369,71.0,11.6,359.0,0.3,3,26,0
2026-01-26 04:00:00+00:00,10.7,50.2,0.0352,68.0,12.1,359.0,0.9,4,26,0
2026-01-26 04:15:00+00:00,13.9,52.6,0.0395,65.0,12.3,360.0,1.8,4,26,0
2026-01-26 04:30:00+00:00,15.8,51.1,0.04,63.0,12.6,359.0,1.7,4,26,0
2026-01-26 05:00:00+00:00,17.7,42.9,0.0365,61.0,12.9,360.0,1.8,5,26,0
2026-01-26 05:15:00+00:00,7.1,46.1,0.0303,60.0,13.3,360.0,1.5,5,26,0
2026-01-26 05:30:00+00:00,5.0,41.7,0.0262,59.0,13.6,,1.3,5,26,0
2026-01-26 05:45:00+00:00,4.8,42.5,0.0265,58.0,13.9,359.0,1.6,5,26,0
2026-01-26 06:00:00+00:00,23.7,50.1,0.047,55.0,14.5,360.0,1.0,6,26,0
2026-01-26 06:15:00+00:00,7.0,44.4,0.0292,52.0,15.1,359.0,1.3,6,26,0
2026-01-26 06:30:00+00:00,12.1,56.2,0.0395,52.0,15.1,360.0,3.0,6,26,0
2026-01-26 06:45:00+00:00,4.6,39.9,0.0248,53.0,15.0,360.0,2.1,6,26,0
2026-01-26 07:00:00+00:00,6.1,50.1,0.0314,52.0,15.3,360.0,2.1,7,26,0
2026-01-26 07:15:00+00:00,4.0,37.2,0.0229,51.0,15.3,,2.0,7,26,0
2026-01-26 07:30:00+00:00,3.6,38.1,0.0231,51.0,15.4,,1.5,7,26,0
2026-01-26 07:45:00+00:00,6.7,54.4,0.0334,50.0,15.6,,2.1,7,26,0
2026-01-26 08:00:00+00:00,6.6,55.8,0.0351,50.0,15.7,360.0,2.3,8,26,0
2026-01-26 08:15:00+00:00,9.1,67.4,0.0433,49.0,15.9,360.0,2.5,8,26,0
2026-01-26 08:30:00+00:00,10.5,65.8,0.0436,48.0,15.9,,3.0,8,26,0
2026-01-26 08:45:00+00:00,14.3,67.4,0.0481,47.0,16.0,,2.4,8,26,0
2026-01-26 09:00:00+00:00,9.8,61.2,0.0407,47.0,16.1,,2.5,9,26,0
